U,0.,1.,2.
P,2,1.,8.
T,7.0,1.6666666666666667
H,114.11888888888889,2,2
H,114.52333333333333,2,3
H,115.65222222222222,2,3
H,115.91777777777776,2,3
H,116.61111111111109,2,3
H,117.40222222222219,2,3
H,358.2772222222223,2,3
H,360.1883333333334,2,3
H,362.13944444444445,2,3
H,363.055,2,3
H,363.95722222222224,2,3
H,366.1161111111111,2,3
H,367.9872222222222,2,3
H,369.9872222222222,2,2
H,370.97388888888884,2,2
L,1,371.0937755102041,381.0937755102041
P,2,1.,10.
H,371.9116666666667,2,2
H,374.09833333333336,2,2
H,376.14722222222224,2,3
H,378.00500000000005,2,2
H,380.0672222222222,2,3
H,380.7338888888888,2,3
H,381.14277777777784,2,3
H,381.44500000000005,2,3
H,383.215,2,2
H,384.30833333333334,2,2
H,386.1438888888889,2,2
H,388.2238888888889,2,3
H,388.5527777777778,2,3
H,388.86388888888894,2,3
H,389.1438888888889,2,3
H,391.0905555555556,2,3
H,392.06388888888887,2,3
H,393.95722222222224,2,3
H,396.015,2,3
H,403.50777777777773,2,3
H,404.20111111111106,2,3
H,405.0277777777777,2,3
H,411.5566666666667,2,3
H,412.2855555555555,2,3
H,413.121111111111,2,3
H,418.60666666666657,2,3
H,419.6377777777777,2,3
H,420.14444444444433,2,3
H,421.371111111111,2,3
H,422.8377777777778,2,3
H,423.7533333333333,2,2
H,424.371111111111,2,2
H,424.9355555555554,2,2
H,426.5577777777777,2,2
H,427.47777777777776,2,2
H,428.33555555555546,2,2
H,429.1444444444444,2,2
H,430.5266666666666,2,2
H,431.5044444444444,2,2
H,432.31777777777774,2,3
H,433.09444444444443,2,3
H,434.69888888888886,2,3
H,434.9877777777777,2,3
H,435.2411111111111,2,3
H,436.0855555555555,2,3
H,436.6811111111111,2,3
H,437.4811111111111,2,3
H,437.8366666666666,2,3
H,438.09444444444443,2,3
H,438.84111111111105,2,3
H,439.17444444444436,2,3
H,439.4766666666666,2,3
H,439.72999999999996,2,3
H,440.4544444444444,2,3
H,440.761111111111,2,3
H,441.01444444444445,2,3
H,441.30777777777774,2,3
H,442.0588888888889,2,3
H,442.3655555555555,2,3
H,443.0144444444444,2,3
H,443.78777777777776,2,3
H,444.08555555555546,2,3
H,444.45,2,3
H,445.2188888888888,2,3
H,445.98777777777775,2,3
H,446.72999999999996,2,3
H,448.04111111111104,2,3
H,449.7533333333332,2,3
H,451.3444444444444,2,3
H,452.67777777777775,2,3
H,454.0688888888888,2,3
L,1,454.19186318972044,464.19186318972044
P,2,1.,8.
F,7.0
