U,2.,5.0.4.,3.
H,82.64569916855642,3,3
H,84.5032955404385,3,3
H,85.91584278155715,3,3
H,86.53504157218453,3,3
H,88.72158730158738,3,3
H,89.26338624338634,3,3
H,91.25643235071813,3,3
H,91.52733182161761,3,2
H,91.79823129251709,3,3
H,91.99173091458815,3,2
L,0,93.9509561602419,101.9509561602419
P,3,0.4.5.,6.5.6.
H,96.4615721844294,3,3
H,96.69377173091465,3,2
H,97.00337112622836,3,3
H,97.21622071050649,3,2
H,100.93441043083902,3,3
H,101.8632086167801,3,2
H,103.00485638699928,3,3
H,105.11400226757377,3,2
H,106.1008503401361,3,2
H,106.97159863945583,3,3
H,109.08074452003032,3,3
H,109.31294406651553,3,3
H,109.54514361300082,3,2
H,109.757993197279,3,3
H,109.8740929705216,3,2
H,110.16434240362815,3,3
H,110.55134164777027,3,2
H,110.8028911564626,3,3
H,110.99639077853365,3,2
H,111.61558956916107,3,3
L,5,111.83848639455772,127.83848639455772
P,3,0.4.5.,6.5.16.
H,112.07998866213157,3,2
H,114.99849962207111,3,3
H,115.23069916855636,3,2
H,115.50159863945584,3,3
H,115.71444822373401,3,2
H,116.06274754346191,3,3
H,116.44974678760398,3,2
H,116.60454648526081,3,3
H,116.75934618291765,3,2
H,117.16569538926689,3,3
H,117.45594482237344,3,2
H,117.74619425548003,3,3
H,117.95904383975817,3,2
H,118.22994331065765,3,3
H,118.36539304610741,3,2
H,118.67499244142107,3,3
H,118.84914210128503,3,2
H,119.1200415721845,3,3
H,119.33289115646264,3,2
H,119.56509070294788,3,3
H,119.77794028722606,3,2
H,120.04883975812554,3,3
H,120.3003892668179,3,2
H,120.59063869992445,3,3
H,120.84218820861682,3,2
H,121.13243764172341,3,3
H,121.32593726379447,3,2
H,121.67423658352237,3,3
H,121.86773620559339,3,2
H,122.13863567649287,3,3
H,122.39018518518523,3,2
H,122.66108465608471,3,3
H,122.89328420256996,3,2
H,123.18353363567655,3,3
H,123.4157331821618,3,2
H,123.74468253968257,3,3
H,124.38323129251707,3,3
H,125.00243008314445,3,3
L,0,125.6975774754347,138.69757747543468
P,3,0.4.5.,13.5.16.
H,127.36312547241124,3,3
H,128.34997354497358,3,3
H,128.98852229780806,3,3
H,129.64642101284963,3,3
H,130.8688019652306,3,3
H,131.9136999244143,3,3
H,133.17144746787608,3,3
H,134.1389455782313,3,3
